shipment_mode,total_cost
Air,82971
Air,15411.1776
Air,91475.58
Ocean,136768.7454
Ocean,26397.75
Air,60115.84
Ocean,51865
Ocean,22440
Air,21011.35
Air,17586.95
Ocean,15579
Air,10332.3
Air,46258
Ocean,13434.51
Air,74700.78
Air,51733.55
Air,30792.7
Ocean,15539.55
Air,47210
Ocean,46182.25
Air,45672.2
Ocean,59437
Ocean,50976
Air,47904.3
Ocean,100645.65
Air,137779.3411
Air,31605.55
Air,35192
Ocean,51909
Ocean,11000.075
Air,43849.15
Air,56119.8
Air,50782.5
Air,91515.82
Air,173651.84
Ocean,37527.3
Air,11031.6
Ocean,91050
Air,32880.1
Air,107517.36
Air,181360
Ocean,35032.5
Air,9726.15
Air,75992
Air,15599.2
Ocean,32046
Air,20171.25
Air,68692.59
Air,52454.6
Air,41368.5
Air,170600
Air,8669
Air,60700.5
Air,32186.25
Air,60886
Ocean,5960.5
Air,176947.92
Ocean,50000.496
Air,15977.5
Air,10737.1
Ocean,187647.6
Ocean,20240.56
Ocean,42925
Air,8965.95
Air,30806.56286
Ocean,189756
Ocean,91244.2
Air,30157.92
Air,31477.85
Air,20448.621
Ocean,95067
Air,15978.3
Air,12504.9
Ocean,46942.5
Ocean,43275
Air,114135.84
Air,70209.72
Ocean,10019.38
Air,24988.7031
Air,32411.5
Air,6012.8
Ocean,100561.545
Air,11178.7
Air,25101.9318
Air,50545
Air,20011.35
Air,10798.5
Air,10532.49
Air,2896.114
Ocean,45655
Air,4700.85
Ocean,46942.5
Air,17343.91365
Ocean,73881.5064
Air,60214.15
Air,20224.08
Air,16026.5
Air,20538.96
Air,106196.9751
Ocean,121689.3
Ocean,164880
Ocean,50853
Air,25044.2612
Air,50545
Ocean,91244.2
Ocean,25014
Ocean,101147.31
Air,50789.75
Air,15084.65
Air,50793.94799
Air,20079.6
Air,20207
Air,15819.35
Air,60517.83
Ocean,184334.4
Air,15773.1
Ocean,27547.41
Ocean,27500.1
Air,15837.85
Ocean,20051.24
Air,52580.55
Ocean,36729.88
Air,52118.8
Air,55688.1
Air,62891.8
Ocean,41337
Air,8418.9
Ocean,10104.6
Air,42935
Air,92431.28
Air,25524.18
Ocean,70605.6
Ocean,91800
Air,52641.75
Ocean,103632.2
Ocean,50456.25
Air,13746.95
Ocean,5544.5
Air,42577.31933
Ocean,20217.736
Air,26913.2
Ocean,173400
Air,150933.3
Air,43374.45
Ocean,26077.5
Ocean,81268.2
Air,120952.16
Ocean,41616
Ocean,26077.5
Ocean,50401.71
Ocean,50490
Ocean,81268.2
Air,105288
Ocean,145782.7392
Ocean,91700
Air,91505.76
Ocean,127482.9
Ocean,20738.75
Ocean,9523.5
Ocean,60012.85
Air,43995
Ocean,32063.5
Air,27730.6
Ocean,25040.1
Air,10047.3
Air,93210
Air,54156
Ocean,9324
Air,66793.44
Air,30567.7187
Air,10525.80026
Ocean,10054.78
Ocean,35344
Air,28218.6
Air,5123.52
Ocean,5481.6
Air,88407.28
Ocean,55690.25
Air,50344.11
Air,128355
Air,44394.55
Ocean,68177.4
Air,162484.96
Air,64965.75
